year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,6,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",176,22,8.48,4,7.57,0,1.95,0,0,2147,1636,218,168,0,125
2021,6,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",90,9,4.05,0,3.16,0,1.79,0,0,331,221,0,74,0,36
2021,6,9E,Endeavor Air Inc.,ACK,"Nantucket, MA: Nantucket Memorial",60,10,2.55,1,5.59,0,0.85,0,0,949,107,109,492,0,241
2021,6,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",116,12,4.73,0.33,3.36,0,3.58,0,1,621,223,19,166,0,213
2021,6,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",170,13,5.77,1,1.58,0,4.65,0,2,1118,524,79,241,0,274
2021,6,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",86,15,7.68,1.16,2.54,0,3.62,0,0,968,357,105,122,0,384
2021,6,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",4899,437,161.14,34.51,93.01,0,148.34,0,8,31399,14669,2130,3600,0,11000
2021,6,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",210,31,15.49,1,8.68,0,5.83,0,2,1374,828,36,216,0,294
2021,6,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",104,1,0,0,1,0,0,0,1,22,0,0,22,0,0
2021,6,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",90,12,4.74,1.78,1.16,0,4.32,0,0,587,188,110,49,0,240
2021,6,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",22,2,2,0,0,0,0,0,0,74,74,0,0,0,0
2021,6,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",30,4,1.83,0,1.08,0,1.09,0,0,136,95,0,18,0,23
2021,6,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",90,9,5,0,1,0,3,0,0,745,442,0,22,0,281
