date,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
Jan-2021,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",110,1,0.63,0,0.38,0,0,2,0,32,20,0,12,0,0
Jan-2021,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",87,9,3.53,0.89,3.58,0,1,0,1,452,174,32,208,0,38
Jan-2021,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",79,7,3.87,1,2.13,0,0,0,0,969,351,541,77,0,0
Jan-2021,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",181,12,5.28,1,2.23,0,3.5,0,0,1093,247,519,49,0,278
Jan-2021,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",107,10,4.12,0,5.88,0,0,0,0,430,289,0,141,0,0
Jan-2021,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",5358,391,114.05,13.71,144.7,0.86,117.68,3,1,35063,16409,2003,7115,75,9461
Jan-2021,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",167,17,2.67,2,10.41,0,1.91,0,1,1928,581,922,277,0,148
Jan-2021,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",141,5,1.03,1.97,1,0,1,0,0,740,69,611,33,0,27
Jan-2021,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",95,9,3.97,1,4.03,0,0,0,0,1062,891,66,105,0,0
Jan-2021,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",143,20,5.31,0,13.69,0,1,0,0,880,497,0,349,0,34
Jan-2021,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",27,3,1.39,0.61,1,0,0,0,0,178,92,46,40,0,0
Jan-2021,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",114,6,2.37,0,2,0,1.63,0,0,199,98,0,44,0,57
Jan-2021,9E,Endeavor Air Inc.,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",6,1,0,0,1,0,0,0,0,15,0,0,15,0,0
Jan-2021,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",79,5,1,1,1,0,2,0,0,671,27,559,17,0,68
Jan-2021,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan-2021,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",21,2,0.46,0,1.38,0,0.17,0,0,45,11,0,30,0,4
Jan-2021,9E,Endeavor Air Inc.,BQK,"Brunswick, GA: Brunswick Golden Isles",79,5,1.67,0,1.59,0,1.74,0,0,415,39,0,336,0,40
Jan-2021,9E,Endeavor Air Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",110,10,5.43,0,1.02,0,3.55,0,0,473,316,0,50,0,107
Jan-2021,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Burlington International",60,5,0,0,5,0,0,0,0,105,0,0,105,0,0
Jan-2021,9E,Endeavor Air Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan-2021,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",54,9,4.13,0,4.8,0,0.07,0,0,382,262,0,114,0,6
Jan-2021,9E,Endeavor Air Inc.,CAE,"Columbia, SC: Columbia Metropolitan",36,5,1.58,0,2.58,0,0.83,0,0,315,63,0,161,0,91
Jan-2021,9E,Endeavor Air Inc.,CHA,"Chattanooga, TN: Lovell Field",203,4,2,0,0,0,2,0,0,162,87,0,0,0,75
